Date Published,Product Title,Advisory Title,Category,Post Link,
1 June 2021,JOYCEE HONESTY WHITENING LOTION WITH PAPAYA EXTRACT,FDA Advisory No.2021-1116 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic JOYCEE HONESTY WHITENING LOTION WITH PAPAYA EXTRACT,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-1116-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-joycee-honesty-whitening-lotion-with-papaya-extract/,
1 June 2021,AGDIGUS ESSENTIALS ACTIVATED BAMBOO CHARCOAL,FDA Advisory No.2021-1115 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic AGDIGUS ESSENTIALS ACTIVATED BAMBOO CHARCOAL,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-1115-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-agdigus-essentials-activated-bamboo-charcoal/,
1 June 2021,KRIS I MISS YOU BODY LOTION,FDA Advisory No.2021-1114 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic KRIS I MISS YOU BODY LOTION,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-1114-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-kris-i-miss-you-body-lotion/,
1 June 2021,SKIN POTIONS LIP CANDY COLOR LIP BALM,FDA Advisory No.2021-1113 || Public Health Warning Against the Purchase and Use of the Non-Compliant Cosmetic Product “SKIN POTIONS LIP CANDY COLOR LIP BALM”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-1113-public-health-warning-against-the-purchase-and-use-of-the-non-compliant-cosmetic-product-skin-potions-lip-candy-color-lip-balm/,
1 June 2021,MERCHEM NAIL POLISH REMOVER,FDA Advisory No.2021-1112 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic MERCHEM NAIL POLISH REMOVER,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-1112-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-merchem-nail-polish-remover/,
1 June 2021,SHOO FLY SPRAY,FDA Advisory No.2021-1111 || Public Health Warning Against the Purchase and Use of Unauthorized Household/Urban Pesticide (H/UP) SHOO FLY SPRAY,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-1111-public-health-warning-against-the-purchase-and-use-of-unauthorized-household-urban-pesticide-h-up-shoo-fly-spray/,
1 June 2021,3CE SASIMI,FDA Advisory No.2021-1110 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic 3CE SASIMI,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-1110-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-3ce-sasimi/,
1 June 2021,BATH ORIGINS CHAMOMILE FACIAL MIST,FDA Advisory No.2021-1109 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic BATH ORIGINS CHAMOMILE FACIAL MIST,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-1109-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-bath-origins-chamomile-facial-mist/,
31 May 2021,DESUNIA SUNBLOCK CREAM,FDA Advisory No.2021-1082 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic DESUNIA SUNBLOCK CREAM,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-1082-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-desunia-sunblock-cream/,
31 May 2021,LA BELLE NAIL POLISH TOP COAT,FDA Advisory No.2021-1108 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic LA BELLE NAIL POLISH TOP COAT,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-1108-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-la-belle-nail-polish-top-coat/,
